CustomerID,Tenure,MonthlyCharges,TotalCharges,Contract,PaperlessBilling,SeniorCitizen,Churn,PM_Bank Transfer,PM_Credit Card,PM_Electronic Check
C00001,0.07142857142857142,0.2458100558659218,0.1763053746967956,1,0,1,0,0,1,0
C00002,0.2857142857142857,0.5195530726256984,0.20349802119239116,0,1,1,0,0,0,1
C00003,0.3714285714285714,0.06145251396648045,0.1654538490999617,2,0,1,0,0,1,0
C00004,0.7428571428571429,0.050279329608938536,0.8925060640878335,0,0,1,0,0,0,1
C00005,0.21428571428571427,0.9217877094972068,0.11030256606664113,1,0,1,0,0,0,1
C00006,0.7714285714285715,0.13407821229050282,0.9420400868122047,2,0,0,0,0,0,1
C00007,0.9285714285714286,0.44134078212290506,0.5130856632197114,2,0,1,0,1,0,0
C00008,0.8571428571428572,0.6033519553072626,0.37393080556619435,0,0,1,0,1,0,0
C00009,0.9,0.5810055865921788,0.9975743648665901,0,0,1,0,0,1,0
C00010,0.1857142857142857,0.558659217877095,0.725775564917656,1,1,1,0,1,0,0
C00011,0.8285714285714286,0.20670391061452514,0.639474020171071,1,1,0,0,0,1,0
C00012,0.0857142857142857,0.5027932960893855,0.9093578450146814,0,0,1,1,0,0,1
C00013,0.7428571428571429,0.3687150837988827,0.4186135580237457,0,1,1,0,1,0,0
C00014,0.09999999999999999,0.7709497206703911,0.7704583173752074,0,0,1,1,0,1,0
C00015,0.7428571428571429,0.2122905027932961,0.0777479892761394,0,1,1,0,0,1,0
C00016,0.9142857142857143,0.31843575418994413,0.4994255074684029,0,1,1,0,0,1,0
C00017,0.2571428571428571,0.9329608938547486,0.601940508106728,2,0,0,0,0,1,0
C00018,0.5857142857142857,0.45251396648044695,0.45665773011617516,1,1,0,0,1,0,0
C00019,0.0857142857142857,0.7597765363128492,0.6676879867228392,1,1,0,1,1,0,0
C00020,0.35714285714285715,0.4748603351955307,0.8565045321077492,0,1,1,0,1,0,0
C00021,0.5285714285714286,0.6536312849162011,0.10736627090514489,0,0,1,0,0,0,1
C00022,0.34285714285714286,0.558659217877095,0.599514872973318,2,1,0,0,0,1,0
C00023,0.8428571428571429,0.111731843575419,0.2037533512064343,1,0,1,0,0,1,0
C00024,0.41428571428571426,0.44692737430167595,0.4533384399336142,2,0,1,0,0,1,0
C00025,0.34285714285714286,0.9664804469273743,0.9454870420017872,0,0,0,0,1,0,0
C00026,0.6571428571428571,0.899441340782123,0.40035746201966044,1,0,1,0,0,1,0
C00027,0.8428571428571429,0.45251396648044695,0.4572960551512831,0,0,1,0,1,0,0
C00028,0.2714285714285714,0.2011173184357542,0.48397804161879227,1,0,1,0,1,0,0
C00029,0.49999999999999994,0.8659217877094972,0.44976381973701013,1,0,0,0,1,0,0
C00030,0.4714285714285714,0.9497206703910616,0.9422954168262478,1,0,1,0,1,0,0
C00031,0.3857142857142857,0.45251396648044695,0.572449891484744,1,1,1,0,0,0,1
C00032,0.12857142857142856,0.9832402234636871,0.5956849227626707,0,1,0,1,0,1,0
C00033,0.6,0.9050279329608938,0.8898250989403804,1,1,0,0,0,0,1
C00034,0.44285714285714284,0.9776536312849163,0.8911017490105961,1,1,1,0,1,0,0
C00035,0.8428571428571429,0.13407821229050282,0.14592110302566066,1,0,1,0,0,1,0
C00036,0.7000000000000001,0.5363128491620112,0.06779011872845653,0,0,1,0,0,1,0
C00037,0.5142857142857143,0.12290502793296089,0.1006000255330014,0,0,0,0,0,0,1
C00038,0.8714285714285714,0.8156424581005587,0.7744159325928762,2,1,1,0,0,0,1
C00039,0.7000000000000001,0.3575418994413408,0.08923783990808119,0,0,0,0,0,1,0
C00040,0.35714285714285715,0.7318435754189945,0.22890335758968466,2,0,0,0,0,0,1
C00041,0.5857142857142857,0.0,0.2286480275756415,2,1,1,0,0,1,0
C00042,0.0857142857142857,0.7150837988826816,0.32452444784884465,2,1,0,0,0,1,0
C00043,0.8857142857142858,0.38547486033519557,0.8155240648538236,1,1,0,0,0,0,1
C00044,0.5857142857142857,0.5754189944134078,0.479254436358994,0,0,1,0,0,1,0
C00045,0.4714285714285714,0.4078212290502794,0.4066130473637176,2,1,0,0,0,1,0
C00046,0.44285714285714284,0.8379888268156425,0.5890463423975488,2,0,1,0,0,1,0
C00047,0.3,0.1452513966480447,0.9442103919315715,0,0,1,0,1,0,0
C00048,0.5142857142857143,0.7932960893854749,0.4565300651091536,0,1,1,0,0,0,1
C00049,0.7857142857142857,0.16201117318435754,0.410698327588408,0,0,0,0,1,0,0
C00050,0.6857142857142857,0.5642458100558659,0.6385803651219201,1,1,0,0,1,0,0
C00051,1.0,0.8491620111731844,0.032809906804544875,0,0,1,0,0,0,1
C00052,0.42857142857142855,0.7486033519553073,0.9419124218051832,2,1,1,0,0,1,0
C00053,0.7428571428571429,0.1564245810055866,0.17081577939486786,1,0,0,0,0,1,0
C00054,0.6857142857142857,0.2681564245810056,0.31354525724498916,0,1,1,0,1,0,0
C00055,0.11428571428571427,0.7653631284916201,0.8761649431890718,0,0,0,1,1,0,0
C00056,0.6571428571428571,0.1899441340782123,0.8512702668198646,2,1,0,0,1,0,0
C00057,0.8142857142857143,0.5642458100558659,0.4312523937188817,1,0,1,0,0,1,0
C00058,0.8285714285714286,0.2905027932960894,0.8801225584067407,0,1,0,0,1,0,0
C00059,0.49999999999999994,0.10055865921787709,0.4638069705093834,1,1,1,0,1,0,0
C00060,0.35714285714285715,0.9050279329608938,0.8828035235541938,0,0,0,0,0,1,0
C00061,0.3142857142857143,0.9329608938547486,0.6956466232605643,0,0,1,0,0,0,1
C00062,0.12857142857142856,0.9776536312849163,0.5266181539639985,2,0,0,1,0,0,1
C00063,0.7428571428571429,0.6033519553072626,0.7205412996297714,1,0,0,0,1,0,0
C00064,0.34285714285714286,0.8715083798882682,0.5536831354525724,1,0,1,0,1,0,0
C00065,0.9142857142857143,0.893854748603352,0.5084897229669347,1,1,0,0,0,1,0
C00066,0.028571428571428574,0.670391061452514,0.3040980467253926,1,0,1,0,0,0,1
C00067,0.7428571428571429,0.22905027932960897,0.44325290437890974,1,0,0,0,1,0,0
C00068,0.8714285714285714,0.23463687150837992,0.3647389250606409,2,1,0,0,0,1,0
C00069,0.014285714285714285,0.45810055865921795,0.1498787182433295,2,1,0,1,0,1,0
C00070,0.7428571428571429,0.005586592178770944,0.8513979318268862,1,0,0,0,0,1,0
C00071,0.9714285714285714,0.7430167597765364,0.1607302438401634,0,0,0,0,0,0,1
C00072,0.9571428571428572,0.7430167597765364,0.22609472743521,1,1,0,0,0,0,1
C00073,0.17142857142857143,0.5865921787709497,0.45155112983531215,2,0,1,0,0,1,0
C00074,0.014285714285714285,0.7374301675977654,0.23988254819354013,0,0,0,1,1,0,0
C00075,0.9857142857142858,0.31843575418994413,0.9490616621983914,2,1,0,0,0,0,1
C00076,0.4857142857142857,0.8379888268156425,0.09919571045576407,1,1,0,0,1,0,0
